frameIndex;frameTime;pcm_LOGenergy
837;8.370000;-1.369389e+01
838;8.380000;-1.379381e+01
839;8.390000;-6.333314e+00
840;8.400000;-5.119782e+00
841;8.410000;-3.752349e+00
842;8.420000;-3.576530e+00
843;8.430000;-4.035571e+00
844;8.440000;-4.647282e+00
845;8.450000;-5.086696e+00
846;8.460000;-5.502830e+00
847;8.470000;-6.077875e+00
848;8.480000;-6.828190e+00
849;8.490000;-7.076919e+00
850;8.500000;-6.568216e+00
851;8.510000;-5.948026e+00
852;8.520000;-5.557178e+00
853;8.530000;-5.678275e+00
854;8.540000;-6.161067e+00
855;8.550000;-6.407793e+00
856;8.560000;-6.225109e+00
857;8.570000;-5.937061e+00
858;8.580000;-6.001242e+00
859;8.590000;-4.914147e+00
860;8.600000;-4.039000e+00
861;8.610000;-3.803676e+00
862;8.620000;-4.131446e+00
863;8.630000;-4.787572e+00
864;8.640000;-5.273532e+00
